PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"40890258","Three-Dimensional gait biomechanics in patients with mild knee osteoarthritis","Pan J, Xie Z, Shen H, Luan J, Zhang X, Liao B.","Sci Rep. 2025 Sep 1;15(1):32061. doi: 10.1038/s41598-025-17398-z.","Pan J","Sci Rep","2025","2025/09/01","PMC12402071","","10.1038/s41598-025-17398-z"
"34699285","Use of surface electromyography to evaluate effects of whole-body vibration exercises on neuromuscular activation and muscle strength in the elderly: a systematic review","Monteiro-Oliveira BB, Coelho-Oliveira AC, Paineiras-Domingos LL, Sonza A, Sá-Caputo DDC, Bernardo-Filho M.","Disabil Rehabil. 2022 Dec;44(24):7368-7377. doi: 10.1080/09638288.2021.1994030. Epub 2021 Oct 26.","Monteiro-Oliveira BB","Disabil Rehabil","2022","2021/10/26","","","10.1080/09638288.2021.1994030"
"41525991","Age and task-dependent modulations in EMG-EMG coherence during gait: a scoping review","De Freitas SM, Dal Maso F, Fradet L, Arvisais D, Cherni Y.","J Neurophysiol. 2026 Mar 1;135(3):653-673. doi: 10.1152/jn.00345.2025. Epub 2026 Jan 12.","De Freitas SM","J Neurophysiol","2026","2026/01/12","","","10.1152/jn.00345.2025"
"39047298","Does acute dehydration affect the neuromuscular function in healthy adults?-a systematic review","Francisco R, Jesus F, Santos P, Trbovšek P, Moreira AS, Nunes CL, Alvim M, Sardinha LB, Lukaski H, Mendonca GV, Silva AM.","Appl Physiol Nutr Metab. 2024 Nov 1;49(11):1441-1460. doi: 10.1139/apnm-2024-0192. Epub 2024 Jul 24.","Francisco R","Appl Physiol Nutr Metab","2024","2024/07/24","","","10.1139/apnm-2024-0192"
"37604647","The effects of age on dyspnea and respiratory mechanical and neural responses to exercise in healthy men","MacAskill W, Hoffman B, Johnson MA, Sharpe GR, Rands J, Wotherspoon SE, Gevorkov Y, Kolbe-Alexander TL, Mills DE.","Physiol Rep. 2023 Aug;11(16):e15794. doi: 10.14814/phy2.15794.","MacAskill W","Physiol Rep","2023","2023/08/21","PMC10442526","","10.14814/phy2.15794"
"34326376","Muscle synergy differences between voluntary and reactive backward stepping","Wang S, Varas-Diaz G, Bhatt T.","Sci Rep. 2021 Jul 29;11(1):15462. doi: 10.1038/s41598-021-94699-z.","Wang S","Sci Rep","2021","2021/07/30","PMC8322057","","10.1038/s41598-021-94699-z"
"33942051","Understanding Facial Muscle Aging: A Surface Electromyography Study","Cotofana S, Assemi-Kabir S, Mardini S, Giunta RE, Gotkin RH, Moellhoff N, Avelar LET, Mercado-Perez A, Lorenc ZP, Frank K.","Aesthet Surg J. 2021 Aug 13;41(9):NP1208-NP1217. doi: 10.1093/asj/sjab202.","Cotofana S","Aesthet Surg J","2021","2021/05/04","","","10.1093/asj/sjab202"
"34450776","Prediction of Myoelectric Biomarkers in Post-Stroke Gait","Hussain I, Park SJ.","Sensors (Basel). 2021 Aug 7;21(16):5334. doi: 10.3390/s21165334.","Hussain I","Sensors (Basel)","2021","2021/08/28","PMC8399186","","10.3390/s21165334"
"35894990","Kinematic and Electromyography Responses to Increasing Proprioception Demand and a Lack of Visual Feedback in Healthy, Middle-Aged Women Tested on an Unstable Platform","Szczerbik E, Kalinowska M, Syczewska M.","Motor Control. 2022 Jun 25;26(4):694-712. doi: 10.1123/mc.2021-0084. Print 2022 Oct 1.","Szczerbik E","Motor Control","2022","2022/07/27","","","10.1123/mc.2021-0084"
"35253709","Pain and electromyography reduction cause of sitting upright posture, frequent break, eye rest and self-stretching during smartphone usage","Intolo P, Sitthikornpaiboon R, Chararivivot V.","Work. 2022;71(3):729-738. doi: 10.3233/WOR-210825.","Intolo P","Work","2022","2022/03/07","","","10.3233/WOR-210825"
"34628310","Four functional magnetic resonance imaging techniques for skeletal muscle exploration, a systematic review","Caroca S, Villagran D, Chabert S.","Eur J Radiol. 2021 Nov;144:109995. doi: 10.1016/j.ejrad.2021.109995. Epub 2021 Oct 4.","Caroca S","Eur J Radiol","2021","2021/10/10","","","10.1016/j.ejrad.2021.109995"
"37420659","Surface Electromyography-Driven Parameters for Representing Muscle Mass and Strength","Sung JH, Baek SH, Park JW, Rho JH, Kim BJ.","Sensors (Basel). 2023 Jun 10;23(12):5490. doi: 10.3390/s23125490.","Sung JH","Sensors (Basel)","2023","2023/07/08","PMC10302141","","10.3390/s23125490"
"36419140","Anticipatory postural adjustments in older versus young adults: a systematic review and meta-analysis","Duarte MB, da Silva Almeida GC, Costa KHA, Garcez DR, de Athayde Costa E Silva A, da Silva Souza G, de Melo-Neto JS, Callegari B.","Syst Rev. 2022 Nov 23;11(1):251. doi: 10.1186/s13643-022-02116-x.","Duarte MB","Syst Rev","2022","2022/11/24","PMC9685888","","10.1186/s13643-022-02116-x"
"34027912","Effects of Plyometric Jump Training on Electromyographic Activity and Its Relationship to Strength and Jump Performance in Healthy Trained and Untrained Populations: A Systematic Review of Randomized Controlled Trials","Ramirez-Campillo R, Garcia-Pinillos F, Chaabene H, Moran J, Behm DG, Granacher U.","J Strength Cond Res. 2021 Jul 1;35(7):2053-2065. doi: 10.1519/JSC.0000000000004056.","Ramirez-Campillo R","J Strength Cond Res","2021","2021/05/24","","","10.1519/JSC.0000000000004056"
"36738627","Distal overactivation of gastrocnemius medialis in persistent plantarflexion weakness following Achilles tendon repair","De la Fuente C, Martinez-Valdes E, da Rocha ES, Geremia JM, Vaz MA, Carpes FP.","J Biomech. 2023 Feb;148:111459. doi: 10.1016/j.jbiomech.2023.111459. Epub 2023 Jan 20.","De la Fuente C","J Biomech","2023","2023/02/04","","","10.1016/j.jbiomech.2023.111459"
"33774145","The influence of resistance training on neuromuscular function in middle-aged and older adults: A systematic review and meta-analysis of randomised controlled trials","James E, Nichols S, Goodall S, Hicks KM, O'Doherty AF.","Exp Gerontol. 2021 Jul 1;149:111320. doi: 10.1016/j.exger.2021.111320. Epub 2021 Mar 24.","James E","Exp Gerontol","2021","2021/03/28","","","10.1016/j.exger.2021.111320"
"31429072","Discharge properties of human diaphragm motor units with ageing","Nguyen DAT, Lewis RHC, Gandevia SC, Butler JE, Hudson AL.","J Physiol. 2019 Oct;597(20):5079-5092. doi: 10.1113/JP278498. Epub 2019 Sep 1.","Nguyen DAT","J Physiol","2019","2019/08/21","","","10.1113/JP278498"
"37956080","Changes in cerebellar output abnormally modulate cortical myoclonus sensorimotor hyperexcitability","Latorre A, Rocchi L, Paparella G, Manzo N, Bhatia KP, Rothwell JC.","Brain. 2024 Apr 4;147(4):1412-1422. doi: 10.1093/brain/awad384.","Latorre A","Brain","2024","2023/11/13","PMC10994547","","10.1093/brain/awad384"
"35166372","Evaluation of Laryngeal Motor Neuropathy Using Transcranial Magnetic Stimulation-Mediated Evoked Potentials","Sadoughi B, Andreadis K.","Laryngoscope. 2022 Aug;132 Suppl 10:S1-S12. doi: 10.1002/lary.30062. Epub 2022 Feb 15.","Sadoughi B","Laryngoscope","2022","2022/02/15","","","10.1002/lary.30062"
"34875350","Decrease in force control among older adults under unpredictable conditions","Ebisu S, Kasahara S, Saito H, Ishida T.","Exp Gerontol. 2022 Feb;158:111649. doi: 10.1016/j.exger.2021.111649. Epub 2021 Dec 5.","Ebisu S","Exp Gerontol","2022","2021/12/07","","","10.1016/j.exger.2021.111649"
"36656382","Effects of Age and Lingual-Palatal Pressure Levels on Submental Surface Electromyography Measures","Barikroo A, Im I, Crary M, Carnaby G.","Dysphagia. 2023 Oct;38(5):1277-1285. doi: 10.1007/s00455-023-10553-6. Epub 2023 Jan 19.","Barikroo A","Dysphagia","2023","2023/01/19","","","10.1007/s00455-023-10553-6"
"32938303","Defective corticomuscular connectivity during walking in patients with Parkinson's disease","Yokoyama H, Yoshida T, Zabjek K, Chen R, Masani K.","J Neurophysiol. 2020 Nov 1;124(5):1399-1414. doi: 10.1152/jn.00109.2020. Epub 2020 Sep 16.","Yokoyama H","J Neurophysiol","2020","2020/09/17","","","10.1152/jn.00109.2020"
"34329167","Investigating the Stroke- and Aging-Related Changes in Global and Instantaneous Intermuscular Coupling Using Cross-Fuzzy Entropy","Tian N, Chen Y, Sun W, Liu H, Wang X, Yan T, Song R.","IEEE Trans Neural Syst Rehabil Eng. 2021;29:1573-1582. doi: 10.1109/TNSRE.2021.3101615. Epub 2021 Aug 13.","Tian N","IEEE Trans Neural Syst Rehabil Eng","2021","2021/07/30","","","10.1109/TNSRE.2021.3101615"
"39551737","Multi-channel EMG manifestations of upper-extremity muscle coordination imbalance among community-dwelling sarcopenic seniors","He H, Wu X, Li N, Jiang Y, He J, Jiang N.","Biomed Eng Online. 2024 Nov 18;23(1):115. doi: 10.1186/s12938-024-01310-3.","He H","Biomed Eng Online","2024","2024/11/17","PMC11571991","","10.1186/s12938-024-01310-3"
"32895952","Effects of age and gender on swallowing activity assessed by electromyography and laryngeal elevation","Endo H, Ohmori N, Chikai M, Miwa H, Ino S.","J Oral Rehabil. 2020 Nov;47(11):1358-1367. doi: 10.1111/joor.13089. Epub 2020 Sep 20.","Endo H","J Oral Rehabil","2020","2020/09/08","","","10.1111/joor.13089"
"35743979","Effects of H-Reflex Onset Latency on Gait in Elderly and Hemiplegic Individuals","Kim SC, Cho SH.","Medicina (Kaunas). 2022 May 27;58(6):716. doi: 10.3390/medicina58060716.","Kim SC","Medicina (Kaunas)","2022","2022/06/24","PMC9228972","","10.3390/medicina58060716"
"33081510","Kinesio taping does not improve ankle functional or performance in people with or without ankle injuries: Systematic review and meta-analysis","Nunes GS, Feldkircher JM, Tessarin BM, Bender PU, da Luz CM, de Noronha M.","Clin Rehabil. 2021 Feb;35(2):182-199. doi: 10.1177/0269215520963846. Epub 2020 Oct 20.","Nunes GS","Clin Rehabil","2021","2020/10/21","","","10.1177/0269215520963846"
"30484343","Motor performance is preserved in healthy aged adults following severe whole-body hyperthermia","Brazaitis M, Paulauskas H, Eimantas N, Daniuseviciute L, Volungevicius G, Skurvydas A.","Int J Hyperthermia. 2019;36(1):65-74. doi: 10.1080/02656736.2018.1533650. Epub 2018 Nov 1.","Brazaitis M","Int J Hyperthermia","2019","2018/11/29","","","10.1080/02656736.2018.1533650"
"37155402","Exoskeleton Training Modulates Complexity in Movement Patterns and Cortical Activity in Able-Bodied Volunteers","Marco RD, Rubega M, Lennon O, Vianello A, Masiero S, Formaggio E, Del Felice A.","IEEE Trans Neural Syst Rehabil Eng. 2023;31:2381-2390. doi: 10.1109/TNSRE.2023.3273819. Epub 2023 May 25.","Marco RD","IEEE Trans Neural Syst Rehabil Eng","2023","2023/05/08","","","10.1109/TNSRE.2023.3273819"
"33720864","The aging-related decrease in cVEMP amplitude cannot be accounted for by normalization","Maheu M, Nooristani M, Kaci B, Moïn-Darbari K, Bacon BA, Champoux F.","J Vestib Res. 2021;31(5):375-380. doi: 10.3233/VES-201515.","Maheu M","J Vestib Res","2021","2021/03/15","","","10.3233/VES-201515"
"32592849","Magnification of visual feedback modulates corticomuscular and intermuscular coherences differently in young and elderly adults","Watanabe T, Nojima I, Mima T, Sugiura H, Kirimoto H.","Neuroimage. 2020 Oct 15;220:117089. doi: 10.1016/j.neuroimage.2020.117089. Epub 2020 Jun 25.","Watanabe T","Neuroimage","2020","2020/06/28","","","10.1016/j.neuroimage.2020.117089"
"35957243","Predictors of Step Length from Surface Electromyography and Body Impedance Analysis Parameters","Park JW, Baek SH, Sung JH, Kim BJ.","Sensors (Basel). 2022 Jul 29;22(15):5686. doi: 10.3390/s22155686.","Park JW","Sensors (Basel)","2022","2022/08/12","PMC9371228","","10.3390/s22155686"
"32509847","Development and Experimental Verification of an Ergonomic Backpack","Ramadan MZ, Al-Tayyar SN.","Biomed Res Int. 2020 May 15;2020:1437126. doi: 10.1155/2020/1437126. eCollection 2020.","Ramadan MZ","Biomed Res Int","2020","2020/06/09","PMC7245669","","10.1155/2020/1437126"
"37675471","Heating the skin on the foot sole enhances cutaneous reflexes in the lower limb","Howe EE, Sharma T, Marrelli LC, Nwebube C, Bent LR.","J Appl Physiol (1985). 2023 Nov 1;135(5):985-994. doi: 10.1152/japplphysiol.00533.2023. Epub 2023 Sep 7.","Howe EE","J Appl Physiol (1985)","2023","2023/09/07","","","10.1152/japplphysiol.00533.2023"
"35180194","Log-Transformed Electromyography Amplitude Power Output Relationship: Nondominant vs. Dominant Limb","Boccomino HL, Daoud BT, Hudas A, North WA, Malek MH.","J Strength Cond Res. 2022 Mar 1;36(3):851-856. doi: 10.1519/JSC.0000000000004222.","Boccomino HL","J Strength Cond Res","2022","2022/02/18","","","10.1519/JSC.0000000000004222"
"39625641","The impact of pillow height on neck muscle activity: a pilot study","Jiao R, Xiao W, Wang M, Yu S, Li H.","Sleep Breath. 2024 Dec 3;29(1):40. doi: 10.1007/s11325-024-03219-6.","Jiao R","Sleep Breath","2024","2024/12/03","","","10.1007/s11325-024-03219-6"
"32711075","Inspiratory muscles contributions to postural control in healthy older women","Rodrigues GD, Gurgel JL, Soares PPDS.","Respir Physiol Neurobiol. 2020 Oct;281:103505. doi: 10.1016/j.resp.2020.103505. Epub 2020 Jul 22.","Rodrigues GD","Respir Physiol Neurobiol","2020","2020/07/26","","","10.1016/j.resp.2020.103505"
"37974024","Detecting age-related changes in skeletal muscle mechanics using ultrasound shear wave elastography","Ateş F, Marquetand J, Zimmer M.","Sci Rep. 2023 Nov 16;13(1):20062. doi: 10.1038/s41598-023-47468-z.","Ateş F","Sci Rep","2023","2023/11/17","PMC10654699","","10.1038/s41598-023-47468-z"
"38857412","Sex disparities of human neuromuscular decline in older humans","Guo Y, Jones EJ, Smart TF, Altheyab A, Gamage N, Stashuk DW, Piasecki J, Phillips BE, Atherton PJ, Piasecki M.","J Physiol. 2025 Jan;603(1):151-165. doi: 10.1113/JP285653. Epub 2024 Jun 10.","Guo Y","J Physiol","2025","2024/06/10","PMC11702916","","10.1113/JP285653"
"30852367","Corticospinal control of normal and visually guided gait in healthy older and younger adults","Spedden ME, Choi JT, Nielsen JB, Geertsen SS.","Neurobiol Aging. 2019 Jun;78:29-41. doi: 10.1016/j.neurobiolaging.2019.02.005. Epub 2019 Feb 13.","Spedden ME","Neurobiol Aging","2019","2019/03/11","","","10.1016/j.neurobiolaging.2019.02.005"
"37756177","Characterization of Motor Unit Firing and Twitch Properties for Decoding Musculoskeletal Force in the Human Ankle Joint In Vivo","Gogeascoechea A, Ornelas-Kobayashi R, Yavuz US, Sartori M.","IEEE Trans Neural Syst Rehabil Eng. 2023;31:4040-4050. doi: 10.1109/TNSRE.2023.3319959. Epub 2023 Oct 20.","Gogeascoechea A","IEEE Trans Neural Syst Rehabil Eng","2023","2023/09/27","","","10.1109/TNSRE.2023.3319959"
"38454712","sEMG-based Sarcopenia risk classification using empirical mode decomposition and machine learning algorithms","Kumar KS, Lee D, Jamsrandoj A, Soylu NN, Jung D, Kim J, Mun KR.","Math Biosci Eng. 2024 Jan 25;21(2):2901-2921. doi: 10.3934/mbe.2024129.","Kumar KS","Math Biosci Eng","2024","2024/03/08","","","10.3934/mbe.2024129"
"40031587","Continuous Estimation of Swallowing Motion With EMG and MMG Signals","Guo Z, Wang Z, Wang Y, Huo W, Han J.","IEEE Trans Neural Syst Rehabil Eng. 2025;33:787-797. doi: 10.1109/TNSRE.2025.3540842. Epub 2025 Feb 19.","Guo Z","IEEE Trans Neural Syst Rehabil Eng","2025","2025/03/03","","","10.1109/TNSRE.2025.3540842"
"35220910","Relationship between emotional state and masticatory system function in a group of healthy volunteers aged 18-21","Kondrat W, Stocka A, Sierpinska T.","Cranio. 2024 Nov;42(6):680-687. doi: 10.1080/08869634.2022.2043021. Epub 2022 Feb 28.","Kondrat W","Cranio","2024","2022/02/28","","","10.1080/08869634.2022.2043021"
"32324776","Early and late rapid torque characteristics and select physiological correlates in middle-aged and older males","Olmos AA, Stratton MT, Ha PL, Dalton BE, VanDusseldorp TA, Mangine GT, Feito Y, Poisal MJ, Jones JA, Smith TM, Hester GM.","PLoS One. 2020 Apr 23;15(4):e0231907. doi: 10.1371/journal.pone.0231907. eCollection 2020.","Olmos AA","PLoS One","2020","2020/04/24","PMC7179893","","10.1371/journal.pone.0231907"
"33258326","Pelvic floor muscle strength is correlated with sexual function","Sartori DVB, Kawano PR, Yamamoto HA, Guerra R, Pajolli PR, Amaro JL.","Investig Clin Urol. 2021 Jan;62(1):79-84. doi: 10.4111/icu.20190248. Epub 2020 Nov 9.","Sartori DVB","Investig Clin Urol","2021","2020/12/01","PMC7801170","","10.4111/icu.20190248"
"32133493","Relationship of Anabolic Hormones With Motor Unit Characteristics in Quadriceps Muscle in Healthy and Frail Aging Men","Swiecicka A, Piasecki M, Stashuk D, Jones D, Wu F, McPhee JS, Rutter MK.","J Clin Endocrinol Metab. 2020 Jul 1;105(7):dgaa100. doi: 10.1210/clinem/dgaa100.","Swiecicka A","J Clin Endocrinol Metab","2020","2020/03/06","","","10.1210/clinem/dgaa100"
"32530492","Quantitative electromyography: Normative data in paraspinal muscles","Jeppesen TD, Levison L, Codeluppi L, Krarup C.","Muscle Nerve. 2020 Sep;62(3):358-362. doi: 10.1002/mus.27000. Epub 2020 Jul 5.","Jeppesen TD","Muscle Nerve","2020","2020/06/13","","","10.1002/mus.27000"
"38876635","Effectiveness of the Copenhagen adduction modified position stage 1: EMG measurements and hand-held dynamometer analysis in young and healthy men","Hinnekens S, Fickers É, Vervloet G.","J Bodyw Mov Ther. 2024 Jul;39:251-257. doi: 10.1016/j.jbmt.2024.02.017. Epub 2024 Feb 29.","Hinnekens S","J Bodyw Mov Ther","2024","2024/06/14","","","10.1016/j.jbmt.2024.02.017"
"36336337","Effects of 3D virtual reality motionless imagery training program with an avatar","Moon KJ, Lee MC, Han KH.","Psych J. 2023 Apr;12(2):169-177. doi: 10.1002/pchj.614. Epub 2022 Nov 6.","Moon KJ","Psych J","2023","2022/11/06","","","10.1002/pchj.614"
"38867670","The effect of trunk position and pain location on lumbar extensor muscle recruitment strategies","Ducas J, Pano-Rodriguez A, Couture S, Gallina A, Abboud J.","J Appl Physiol (1985). 2024 Sep 1;137(3):540-553. doi: 10.1152/japplphysiol.00086.2024. Epub 2024 Jun 13.","Ducas J","J Appl Physiol (1985)","2024","2024/06/13","","","10.1152/japplphysiol.00086.2024"
"38189826","Single-session measures of quadriceps neuromuscular function are reliable in healthy females and unaffected by age","O'Bryan SJ, Hiam D, Lamon S.","Eur J Appl Physiol. 2024 Jun;124(6):1719-1732. doi: 10.1007/s00421-023-05395-x. Epub 2024 Jan 8.","O'Bryan SJ","Eur J Appl Physiol","2024","2024/01/08","PMC11130065","","10.1007/s00421-023-05395-x"
"35963451","Age-related differences in stepping stability following a sudden gait perturbation are associated with lower limb eccentric control of the perturbed limb","Jeon W, Whitall J, Alissa N, Westlake K.","Exp Gerontol. 2022 Oct 1;167:111917. doi: 10.1016/j.exger.2022.111917. Epub 2022 Aug 10.","Jeon W","Exp Gerontol","2022","2022/08/13","PMC13085867","NIHMS2150996","10.1016/j.exger.2022.111917"
"36342320","The Relationship Between Quadriceps Femoris Muscle Function and MRI-Derived Water Diffusion and Adipose Tissue Measurements in Young Healthy Males","Yamauchi K, Someya K, Kato C, Kato T.","J Magn Reson Imaging. 2023 Aug;58(2):548-556. doi: 10.1002/jmri.28525. Epub 2022 Nov 7.","Yamauchi K","J Magn Reson Imaging","2023","2022/11/07","","","10.1002/jmri.28525"
"33838526","Trunk kinematics and muscle activation patterns during stand-to-sit movement and the relationship with postural stability in aging","Jeon W, Whitall J, Griffin L, Westlake KP.","Gait Posture. 2021 May;86:292-298. doi: 10.1016/j.gaitpost.2021.03.025. Epub 2021 Mar 24.","Jeon W","Gait Posture","2021","2021/04/10","","","10.1016/j.gaitpost.2021.03.025"
"39357115","Mechanisms of gait speed changes in middle-aged adults: Simultaneous analysis of magnitude and temporal effects","Vijayan V, Fang S, Reissman T, Kinney AL, Reissman ME.","Gait Posture. 2024 Oct;114:193-201. doi: 10.1016/j.gaitpost.2024.09.017. Epub 2024 Sep 26.","Vijayan V","Gait Posture","2024","2024/10/02","","","10.1016/j.gaitpost.2024.09.017"
"32445060","Surface Electromyographic Biofeedback and the Effortful Swallow Exercise for Stroke-Related Dysphagia and in Healthy Ageing","Archer SK, Smith CH, Newham DJ.","Dysphagia. 2021 Apr;36(2):281-292. doi: 10.1007/s00455-020-10129-8. Epub 2020 May 22.","Archer SK","Dysphagia","2021","2020/05/24","PMC8004490","","10.1007/s00455-020-10129-8"
"37129552","Large muscle group movements during sleep in healthy people: normative values and correlation to sleep features","Ibrahim A, Ferri R, Cesari M, Frauscher B, Heidbreder A, Bergmann M, Högl B, Stefani A.","Sleep. 2023 Aug 14;46(8):zsad129. doi: 10.1093/sleep/zsad129.","Ibrahim A","Sleep","2023","2023/05/02","PMC10424171","","10.1093/sleep/zsad129"
"40218839","Relationship Between Lower-Extremity Co-Contraction and Jerk During Gait","Miyashita T, Kawanishi K, Kudo S.","Sensors (Basel). 2025 Apr 6;25(7):2327. doi: 10.3390/s25072327.","Miyashita T","Sensors (Basel)","2025","2025/04/12","PMC11991252","","10.3390/s25072327"
"31374246","Neuromuscular function of the plantar flexors and predictors of peak power in middle-aged and older males","Olmos AA, Stratton MT, Ha PL, VanDusseldorp TA, Bailly AR, Feito Y, Mangine GT, Poisal MJ, Jones JA, Dalton BE, Smith TM, Hester GM.","Exp Gerontol. 2019 Oct 1;125:110677. doi: 10.1016/j.exger.2019.110677. Epub 2019 Jul 30.","Olmos AA","Exp Gerontol","2019","2019/08/03","","","10.1016/j.exger.2019.110677"
"31390633","Age Differences in Emotion Regulation and Facial Muscle Reactivity to Emotional Films","Labuschagne I, Pedder DJ, Henry JD, Terrett G, Rendell PG.","Gerontology. 2020;66(1):74-84. doi: 10.1159/000501584. Epub 2019 Aug 7.","Labuschagne I","Gerontology","2020","2019/08/08","","","10.1159/000501584"
"31321803","Neural control properties of the external anal sphincter in young and elderly women","Dias N, Zhang C, Li X, Neshatian L, Orejuela FJ, Zhang Y.","Neurourol Urodyn. 2019 Sep;38(7):1828-1833. doi: 10.1002/nau.24108. Epub 2019 Jul 18.","Dias N","Neurourol Urodyn","2019","2019/07/20","PMC6706306","NIHMS1040182","10.1002/nau.24108"
"35162227","Impact of Types of Breathing on Static Balance Ability in Healthy Adults","Kim SH, Shin HJ, Cho HY.","Int J Environ Res Public Health. 2022 Jan 21;19(3):1205. doi: 10.3390/ijerph19031205.","Kim SH","Int J Environ Res Public Health","2022","2022/02/15","PMC8835336","","10.3390/ijerph19031205"
"41413197","Dynamic evolution of intracortical and corticomuscular connectivity during reach-and-grasp movement planning and execution","Sanchez-Bautista JA, Antelis JM, Mendoza-Montoya O.","Sci Rep. 2025 Dec 18;16(1):2751. doi: 10.1038/s41598-025-32388-x.","Sanchez-Bautista JA","Sci Rep","2025","2025/12/18","PMC12824415","","10.1038/s41598-025-32388-x"
"35162600","Cervical Myofascial Pain Is Associated with an Imbalance of Masticatory Muscle Activity","Ginszt M, Szkutnik J, Zieliński G, Bakalczuk M, Stodółkiewicz M, Litko-Rola M, Ginszt A, Rahnama M, Majcher P.","Int J Environ Res Public Health. 2022 Jan 29;19(3):1577. doi: 10.3390/ijerph19031577.","Ginszt M","Int J Environ Res Public Health","2022","2022/02/15","PMC8834744","","10.3390/ijerph19031577"
"30304978","Stationary Exercise in Overweight and Normal Weight Children","Yaghoubi M, Fink PW, Page WH, Shultz SP.","Pediatr Exerc Sci. 2019 Feb 1;31(1):52-59. doi: 10.1123/pes.2018-0086. Epub 2018 Oct 10.","Yaghoubi M","Pediatr Exerc Sci","2019","2018/10/12","","","10.1123/pes.2018-0086"
"40366843","Grasp-Dependent Modulations in EEG-EMG Coherence Are Observed in Young but Not Older Adults","Eswari B, Balasubramanian S, Varadhan SKM.","IEEE Trans Neural Syst Rehabil Eng. 2025;33:2025-2033. doi: 10.1109/TNSRE.2025.3569859.","Eswari B","IEEE Trans Neural Syst Rehabil Eng","2025","2025/05/14","","","10.1109/TNSRE.2025.3569859"
